Museum,City,Year,Rank,Total
Musée du Louvre,Paris,2024,1,"8,737,050"
Vatican Museums,Vatican City,2024,2,"6,825,436"
British Museum,London,2024,3,"6,479,952"
Metropolitan Museum of Art,New York,2024,4,"5,727,258"
Tate Modern,London,2024,5,"4,603,025"
Shanghai Museum East,Shanghai,2024,6,"4,234,046"
National Gallery of Art,"Washington, DC",2024,7,"3,936,543"
National Museum of Korea,Seoul,2024,8,"3,788,785"
Musée d'Orsay,Paris,2024,9,"3,751,141"
Museo Nacional de Antropología,Mexico City,2024,10,"3,700,000"
State Russian Museum,St Petersburg,2024,11,"3,611,899"
State Hermitage Museum,St Petersburg,2024,12,"3,563,590"
Victoria and Albert Museum,London,2024,13,"3,525,700"
Museo Nacional del Prado,Madrid,2024,14,"3,457,057"
Centre Pompidou,Paris,2024,15,"3,204,369"
National Gallery,London,2024,16,"3,203,451"
Royal Wawel Castle,Krakow,2024,17,"3,100,000"
Somerset House,London,2024,18,"3,074,736"
Galleria degli Uffizi,Florence,2024,19,"2,908,828"
Museum of Modern Art (MoMA),New York,2024,20,"2,657,377"
