scenario,domestic_price,foreign_price,expected_visitors,annual_revenue,visitor_change_pct
A. 단일 요금제,17595.190380761524,17595.190380761524,2948009.746602935,51870792735.819176,-34.84713899543559
B-1 수익 최적 이중가격제,17595.190380761524,17595.190380761524,2948009.746602935,51870792735.81917,-34.84713899543559
B-2 공공성 우선 이중가격제,5000.0,17595.190380761524,4938573.860804803,26634136339.708416,9.145574123208018
최종 제안 이중가격제,5000.0,17595.190380761524,4938573.860804803,26634136339.708416,9.145574123208018
