Price_KRW,Visitors_Flat,Revenue_Flat,Revenue_Dual_B1,Revenue_Dual_B2,Visitor_Loss_Pct
1000.0,5715426.16135135,5715426161.35135,49457700995.880516,24221044599.769768,-26.31449631449631
1098.196392785571,5699050.916293667,6258677158.575008,49486103207.61464,24249446811.503883,-25.952593146981904
1196.3927855711422,5682675.671235984,6798712175.80738,49514337281.70131,24277680885.590557,-25.59068997946753
1294.5891783567135,5666300.426178301,7335531213.048462,49542403218.14053,24305746822.029785,-25.228786811953125
1392.7855711422847,5649925.181120618,7869134270.298256,49570301016.93232,24333644620.821568,-24.866883644438744
1490.9819639278558,5633549.936062936,8399521347.556762,49598030678.07666,24361374281.965904,-24.504980476924366
1589.1783567134269,5617174.691005252,8926692444.823978,49625592201.57355,24388935805.4628,-24.143077309409964
1687.374749498998,5600799.44594757,9450647562.099907,49652985587.423,24416329191.31225,-23.781174141895583
1785.5711422845693,5584424.200889886,9971386699.384548,49680210835.625,24443554439.51425,-23.41927097438118
1883.7675350701402,5568048.955832204,10488909856.677898,49707267946.17956,24470611550.06881,-23.0573678068668
1981.9639278557115,5551673.71077452,11003217033.979961,49734156919.08668,24497500522.97592,-22.6954646393524
2080.160320641283,5535298.465716838,11514308231.29074,49760877754.346344,24524221358.23559,-22.33356147183802
2178.3567134268537,5518923.2206591545,12022183448.610222,49787430451.958565,24550774055.847816,-21.97165830432362
2276.5531062124246,5502547.975601472,12526842685.93842,49813815011.92335,24577158615.812595,-21.609755136809238
2374.749498997996,5486172.7305437885,13028285943.27533,49840031434.240685,24603375038.12993,-21.247851969294835
2472.9458917835673,5469797.485486106,13526513220.620953,49866079718.91057,24629423322.79982,-20.885948801780454
2571.1422845691386,5453422.2404284235,14021524517.975286,49891959865.933014,24655303469.822266,-20.524045634266074
2669.3386773547095,5437046.99537074,14513319835.33833,49917671875.308014,24681015479.197266,-20.16214246675167
2767.5350701402804,5420671.750313058,15001899172.710085,49943215747.03557,24706559350.92482,-19.800239299237294
2865.7314629258517,5404296.505255374,15487262530.090551,49968591481.115685,24731935085.00493,-19.43833613172289
2963.927855711423,5387921.260197692,15969409907.479733,49993799077.54835,24757142681.437595,-19.07643296420851
3062.124248496994,5371546.015140008,16448341304.87762,50018838536.333565,24782182140.222813,-18.71452979669411
3160.3206412825652,5355170.770082326,16924056722.284224,50043709857.471344,24807053461.360588,-18.35262662917973
3258.5170340681366,5338795.525024642,17396556159.699535,50068413040.96167,24831756644.85092,-17.99072346166533
3356.7134268537075,5322420.27996696,17865839617.12356,50092948086.80456,24856291690.693806,-17.628820294150948
3454.909819639279,5306045.034909276,18331907094.556297,50117314995.0,24880658598.889248,-17.266917126636546
3553.1062124248497,5289669.789851594,18794758591.997746,50141513765.548,24904857369.437244,-16.90501395912217
3651.302605210421,5273294.544793911,19254394109.44791,50165544398.44855,24928888002.337795,-16.543110791607784
3749.4989979959923,5256919.299736228,19710813646.90678,50189406893.70165,24952750497.5909,-16.181207624093386
3847.695390781563,5240544.054678545,20164017204.374363,50213101251.30731,24976444855.196564,-15.819304456579003
3945.8917835671346,5224168.809620862,20614004781.85066,50236627471.26553,24999971075.154778,-15.457401289064604
4044.0881763527054,5207793.564563179,21060776379.335663,50259985553.5763,25023329157.46555,-15.095498121550222
4142.284569138277,5191418.319505496,21504331996.829384,50283175498.23963,25046519102.12888,-14.73359495403582
4240.480961923848,5175043.074447813,21944671634.33181,50306197305.25551,25069540909.14476,-14.37169178652144
4338.677354709419,5158667.82939013,22381795291.84295,50329050974.62395,25092394578.5132,-14.009788619007038
4436.87374749499,5142292.5843324475,22815702969.362804,50351736506.34494,25115080110.234188,-13.647885451492659
