title,museum_id,stars,id,lang,sentiment,sentiment_label,dominant_topic
Louvre Museum,1001,5,101,en,0.5,positive,4
Louvre Museum,1001,5,102,en,1.0,positive,4
Louvre Museum,1001,5,103,en,-0.5,negative,4
Louvre Museum,1001,5,104,en,1.0,positive,4
Louvre Museum,1001,5,105,en,1.0,positive,4
Louvre Museum,1001,5,106,en,1.0,positive,2
Louvre Museum,1001,5,107,en,1.0,positive,5
Louvre Museum,1001,5,108,en,-0.3333333333333333,negative,4
Louvre Museum,1001,5,109,en,0.5,positive,4
Louvre Museum,1001,5,110,en,0.3333333333333333,positive,4
Louvre Museum,1001,5,111,en,0.6666666666666666,positive,4
Louvre Museum,1001,5,112,en,0.2,neutral,4
Louvre Museum,1001,5,113,en,0.3333333333333333,positive,3
Louvre Museum,1001,5,114,en,1.0,positive,4
Louvre Museum,1001,5,115,en,0.3333333333333333,positive,4
Louvre Museum,1001,5,116,en,1.0,positive,5
Louvre Museum,1001,5,117,en,1.0,positive,4
Louvre Museum,1001,5,118,en,1.0,positive,4
Louvre Museum,1001,5,119,en,1.0,positive,4
Louvre Museum,1001,5,120,en,1.0,positive,4
Louvre Museum,1001,5,121,en,0.0,neutral,5
Louvre Museum,1001,5,122,en,0.058823529411764705,neutral,4
Louvre Museum,1001,5,123,en,1.0,positive,4
Louvre Museum,1001,5,124,en,1.0,positive,3
Louvre Museum,1001,5,125,en,1.0,positive,4
Louvre Museum,1001,5,126,en,1.0,positive,4
Louvre Museum,1001,5,127,en,0.0,neutral,4
Louvre Museum,1001,5,128,en,1.0,positive,4
Louvre Museum,1001,5,129,en,1.0,positive,4
Louvre Museum,1001,5,130,en,0.7777777777777778,positive,4
Louvre Museum,1001,5,131,en,0.0,neutral,4
Louvre Museum,1001,5,132,en,1.0,positive,4
Louvre Museum,1001,5,133,en,1.0,positive,4
Louvre Museum,1001,5,134,en,1.0,positive,3
Louvre Museum,1001,5,135,en,0.3333333333333333,positive,4
Louvre Museum,1001,5,136,en,1.0,positive,4
Louvre Museum,1001,5,137,en,0.0,neutral,4
Louvre Museum,1001,5,138,en,-0.3333333333333333,negative,4
Louvre Museum,1001,5,139,en,1.0,positive,4
Louvre Museum,1001,5,140,en,1.0,positive,1
Louvre Museum,1001,5,141,en,0.0,neutral,1
Louvre Museum,1001,5,142,en,0.42857142857142855,positive,4
Louvre Museum,1001,5,143,en,-0.1111111111111111,neutral,4
Louvre Museum,1001,5,144,en,0.0,neutral,0
Louvre Museum,1001,5,145,en,0.0,neutral,4
Louvre Museum,1001,5,146,en,0.25,positive,4
Louvre Museum,1001,5,147,en,0.3333333333333333,positive,4
Louvre Museum,1001,5,148,en,0.5,positive,4
Louvre Museum,1001,5,149,en,1.0,positive,3
Louvre Museum,1001,5,150,en,1.0,positive,5
Louvre Museum,1001,5,151,en,0.7142857142857143,positive,4
Louvre Museum,1001,5,152,en,1.0,positive,4
Louvre Museum,1001,5,153,en,1.0,positive,4
Louvre Museum,1001,5,154,en,0.75,positive,4
Louvre Museum,1001,5,155,en,1.0,positive,3
Louvre Museum,1001,5,156,en,1.0,positive,4
Louvre Museum,1001,5,157,en,1.0,positive,4
Louvre Museum,1001,5,158,en,1.0,positive,3
Louvre Museum,1001,5,159,en,1.0,positive,4
Louvre Museum,1001,5,160,en,1.0,positive,3
Louvre Museum,1001,5,161,en,0.42857142857142855,positive,4
Louvre Museum,1001,5,162,en,1.0,positive,3
Louvre Museum,1001,5,163,en,1.0,positive,4
Louvre Museum,1001,5,164,en,0.0,neutral,4
Louvre Museum,1001,5,165,en,1.0,positive,5
Louvre Museum,1001,5,166,en,0.5,positive,4
Louvre Museum,1001,5,167,en,0.0,neutral,4
Louvre Museum,1001,5,168,en,0.3333333333333333,positive,4
Louvre Museum,1001,5,169,en,1.0,positive,4
Louvre Museum,1001,5,170,en,1.0,positive,3
Louvre Museum,1001,5,171,en,1.0,positive,4
Louvre Museum,1001,5,172,en,1.0,positive,0
Louvre Museum,1001,5,173,en,0.3333333333333333,positive,4
Louvre Museum,1001,5,174,en,0.0,neutral,4
Louvre Museum,1001,5,175,en,1.0,positive,4
Louvre Museum,1001,5,176,en,1.0,positive,5
Louvre Museum,1001,5,177,en,0.5,positive,4
Louvre Museum,1001,5,178,en,0.2,neutral,4
Louvre Museum,1001,5,179,en,0.6666666666666666,positive,4
Louvre Museum,1001,5,180,en,1.0,positive,5
Louvre Museum,1001,5,181,en,0.7142857142857143,positive,4
Louvre Museum,1001,5,182,en,1.0,positive,5
Louvre Museum,1001,5,183,en,0.3333333333333333,positive,1
Louvre Museum,1001,5,184,en,0.0,neutral,4
Louvre Museum,1001,5,185,en,1.0,positive,4
Louvre Museum,1001,5,186,en,0.0,neutral,4
Louvre Museum,1001,5,187,en,1.0,positive,4
Louvre Museum,1001,5,188,en,1.0,positive,1
Louvre Museum,1001,5,189,en,-1.0,negative,4
Louvre Museum,1001,5,190,en,0.0,neutral,4
Louvre Museum,1001,5,191,en,0.75,positive,4
Louvre Museum,1001,5,192,en,1.0,positive,4
Louvre Museum,1001,5,193,en,1.0,positive,5
Louvre Museum,1001,5,194,en,1.0,positive,0
Louvre Museum,1001,5,195,en,1.0,positive,3
Louvre Museum,1001,5,196,en,0.6,positive,4
Louvre Museum,1001,5,197,en,1.0,positive,4
Louvre Museum,1001,5,198,en,0.0,neutral,4
Louvre Museum,1001,5,199,en,1.0,positive,0
Louvre Museum,1001,5,200,en,1.0,positive,4
Vatican Museums,1002,1,201,en,-0.5,negative,4
Vatican Museums,1002,1,202,en,0.3333333333333333,positive,5
Vatican Museums,1002,2,203,en,1.0,positive,1
Vatican Museums,1002,2,204,en,-0.42857142857142855,negative,4
Vatican Museums,1002,2,205,en,-0.42857142857142855,negative,4
Vatican Museums,1002,3,206,en,-1.0,negative,4
Vatican Museums,1002,3,207,en,-0.2,negative,4
Vatican Museums,1002,3,208,en,0.3333333333333333,positive,2
Vatican Museums,1002,3,209,en,0.3333333333333333,positive,4
Vatican Museums,1002,3,210,en,0.0,neutral,4
Vatican Museums,1002,3,211,en,-0.3333333333333333,negative,4
Vatican Museums,1002,3,212,en,0.2,neutral,4
Vatican Museums,1002,3,213,en,0.5,positive,4
Vatican Museums,1002,3,214,en,-0.3333333333333333,negative,2
Vatican Museums,1002,3,215,en,0.0,neutral,4
Vatican Museums,1002,3,216,en,-0.3333333333333333,negative,4
Vatican Museums,1002,4,217,en,1.0,positive,2
Vatican Museums,1002,4,218,en,0.5,positive,4
Vatican Museums,1002,4,219,en,0.5,positive,4
Vatican Museums,1002,4,220,en,1.0,positive,4
Vatican Museums,1002,4,221,en,0.2,neutral,4
Vatican Museums,1002,4,222,en,1.0,positive,5
Vatican Museums,1002,4,223,en,0.3333333333333333,positive,4
Vatican Museums,1002,4,224,en,1.0,positive,4
Vatican Museums,1002,4,225,en,0.3333333333333333,positive,2
Vatican Museums,1002,4,226,en,0.0,neutral,4
Vatican Museums,1002,4,227,en,0.6666666666666666,positive,4
Vatican Museums,1002,4,228,en,0.2,neutral,4
Vatican Museums,1002,4,229,en,-0.2,negative,4
Vatican Museums,1002,4,230,en,0.6,positive,4
Vatican Museums,1002,4,231,en,1.0,positive,2
Vatican Museums,1002,4,232,en,-0.2,negative,4
Vatican Museums,1002,4,233,en,0.3333333333333333,positive,4
Vatican Museums,1002,4,234,en,0.5,positive,4
Vatican Museums,1002,4,235,en,0.2,neutral,4
Vatican Museums,1002,4,236,en,1.0,positive,4
Vatican Museums,1002,4,237,en,0.42857142857142855,positive,4
Vatican Museums,1002,4,238,en,-0.3333333333333333,negative,4
Vatican Museums,1002,4,239,en,0.5,positive,4
Vatican Museums,1002,4,240,en,0.6,positive,4
Vatican Museums,1002,4,241,en,0.5,positive,4
Vatican Museums,1002,4,242,en,0.14285714285714285,neutral,2
Vatican Museums,1002,4,243,en,1.0,positive,4
Vatican Museums,1002,4,244,en,0.0,neutral,4
Vatican Museums,1002,4,245,en,0.1111111111111111,neutral,4
Vatican Museums,1002,5,246,en,1.0,positive,4
Vatican Museums,1002,5,247,en,1.0,positive,4
Vatican Museums,1002,5,248,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,249,en,1.0,positive,4
Vatican Museums,1002,5,250,en,0.0,neutral,4
Vatican Museums,1002,5,251,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,252,en,1.0,positive,3
Vatican Museums,1002,5,253,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,254,en,0.0,neutral,4
Vatican Museums,1002,5,255,en,1.0,positive,4
Vatican Museums,1002,5,256,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,257,en,1.0,positive,4
Vatican Museums,1002,5,258,en,1.0,positive,4
Vatican Museums,1002,5,259,en,1.0,positive,4
Vatican Museums,1002,5,260,en,1.0,positive,2
Vatican Museums,1002,5,261,en,1.0,positive,4
Vatican Museums,1002,5,262,en,1.0,positive,4
Vatican Museums,1002,5,263,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,264,en,0.0,neutral,4
Vatican Museums,1002,5,265,en,1.0,positive,2
Vatican Museums,1002,5,266,en,0.0,neutral,4
Vatican Museums,1002,5,267,en,0.0,neutral,4
Vatican Museums,1002,5,268,en,1.0,positive,1
Vatican Museums,1002,5,269,en,1.0,positive,4
Vatican Museums,1002,5,270,en,0.6,positive,3
Vatican Museums,1002,5,271,en,-1.0,negative,4
Vatican Museums,1002,5,272,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,273,en,1.0,positive,5
Vatican Museums,1002,5,274,en,0.75,positive,4
Vatican Museums,1002,5,275,en,0.0,neutral,4
Vatican Museums,1002,5,276,en,1.0,positive,4
Vatican Museums,1002,5,277,en,-0.25,negative,4
Vatican Museums,1002,5,278,en,0.6666666666666666,positive,4
Vatican Museums,1002,5,279,en,-0.2,negative,4
Vatican Museums,1002,5,280,en,1.0,positive,4
Vatican Museums,1002,5,281,en,0.0,neutral,4
Vatican Museums,1002,5,282,en,1.0,positive,4
Vatican Museums,1002,5,283,en,1.0,positive,2
Vatican Museums,1002,5,284,en,0.0,neutral,4
Vatican Museums,1002,5,285,en,1.0,positive,0
Vatican Museums,1002,5,286,en,1.0,positive,0
Vatican Museums,1002,5,287,en,-0.3333333333333333,negative,4
Vatican Museums,1002,5,288,en,0.5,positive,4
Vatican Museums,1002,5,289,en,1.0,positive,4
Vatican Museums,1002,5,290,en,0.42857142857142855,positive,4
Vatican Museums,1002,5,291,en,1.0,positive,4
Vatican Museums,1002,5,292,en,1.0,positive,4
Vatican Museums,1002,5,293,en,1.0,positive,4
Vatican Museums,1002,5,294,en,1.0,positive,4
Vatican Museums,1002,5,295,en,1.0,positive,2
Vatican Museums,1002,5,296,en,0.0,neutral,4
Vatican Museums,1002,5,297,en,1.0,positive,4
Vatican Museums,1002,5,298,en,1.0,positive,3
Vatican Museums,1002,5,299,en,0.0,neutral,3
Vatican Museums,1002,5,300,en,0.6,positive,4
Vatican Museums,1002,5,301,en,0.2,neutral,4
Vatican Museums,1002,5,302,en,1.0,positive,4
Vatican Museums,1002,5,303,en,0.6666666666666666,positive,3
Vatican Museums,1002,5,304,en,-0.2,negative,4
Vatican Museums,1002,5,305,en,0.0,neutral,4
Vatican Museums,1002,5,306,en,0.0,neutral,4
Vatican Museums,1002,5,307,en,1.0,positive,4
Vatican Museums,1002,5,308,en,1.0,positive,3
Vatican Museums,1002,5,309,en,1.0,positive,4
